Customer ID,Monthly Charge,Total Charges,Total Revenue,Total Refunds,Total Long Distance Charges,Total Extra Data Charges,Avg Monthly GB Download,Avg Monthly Long Distance Charges,CLTV,Payment Method,Paperless Billing
4526-ZJJTM,88.4,2191.15,2677.15,0.0,486.0,0,4,19.44,4849,Bank Withdrawal,0
5302-BDJNT,95.5,3418.2,5014.9,0.0,1596.7,0,59,45.62,3715,Bank Withdrawal,0
5468-BPMMO,19.6,851.2,1590.42,0.0,739.22,0,0,16.07,5092,Bank Withdrawal,0
2212-LYASK,45.85,1246.4,1276.4,0.0,0.0,30,27,0.0,2068,Credit Card,1
0378-XSZPU,60.3,3563.8,4562.56,0.0,998.76,0,21,17.22,4026,Credit Card,0
6023-YEBUP,100.95,329.95,375.77,0.0,35.82,10,30,11.94,5351,Bank Withdrawal,1
7030-NJVDP,89.25,2210.2,2455.72,0.0,245.52,0,8,10.23,5436,Bank Withdrawal,1
7549-MYGPK,100.55,6215.35,6781.09,0.0,565.74,0,16,8.98,5413,Bank Withdrawal,1
2469-DTSGX,111.65,7943.45,11169.77,0.0,3226.32,0,14,44.81,5388,Bank Withdrawal,0
3090-LETTY,60.95,134.6,164.36,0.0,29.76,0,12,14.88,3172,Bank Withdrawal,0
6486-LHTMA,90.7,2835.5,4207.56,0.0,1372.06,0,22,44.26,2364,Bank Withdrawal,1
9799-CAYJJ,69.3,153.8,219.04,0.0,65.24,0,2,32.62,2901,Bank Withdrawal,1
7690-KPNCU,73.05,4688.65,6393.61,0.0,1704.96,0,71,26.64,4515,Credit Card,1
9576-ANLXO,69.55,222.3,301.08,0.0,78.78,0,30,26.26,2876,Bank Withdrawal,1
1089-HDMKP,54.55,601.25,731.71,0.0,130.46,0,23,11.86,4143,Bank Withdrawal,1
1092-GANHU,76.65,1313.55,1833.92,0.0,520.37,0,7,30.61,3182,Bank Withdrawal,1
2931-VUVJN,94.05,5483.9,6643.16,0.0,1129.26,30,13,19.14,5061,Bank Withdrawal,1
2077-DDHJK,70.9,4911.35,6725.86,49.37,1863.88,0,9,27.41,4114,Credit Card,0
9114-DPSIA,81.0,5750.0,5946.56,0.0,196.56,0,59,2.73,4237,Credit Card,0
3494-JCHRQ,70.05,70.05,97.94,0.0,27.89,0,20,27.89,2699,Bank Withdrawal,1
