Customer ID,Churn,Churn Category,Churn Reason,Churn Score,Customer Status,Satisfaction Score
4526-ZJJTM,0,Not Churned,Not Churned,51,Stayed,3
5302-BDJNT,0,Not Churned,Not Churned,27,Stayed,3
5468-BPMMO,0,Not Churned,Not Churned,59,Stayed,5
2212-LYASK,0,Not Churned,Not Churned,49,Stayed,4
0378-XSZPU,1,Dissatisfaction,Network reliability,88,Churned,2
6023-YEBUP,1,Competitor,Competitor had better devices,81,Churned,1
7030-NJVDP,0,Not Churned,Not Churned,77,Stayed,3
7549-MYGPK,1,Price,Price too high,79,Churned,2
2469-DTSGX,0,Not Churned,Not Churned,75,Stayed,5
3090-LETTY,0,Not Churned,Not Churned,78,Joined,4
6486-LHTMA,0,Not Churned,Not Churned,34,Stayed,3
9799-CAYJJ,0,Not Churned,Not Churned,58,Joined,4
7690-KPNCU,0,Not Churned,Not Churned,28,Stayed,3
9576-ANLXO,1,Competitor,Competitor offered higher download speeds,87,Churned,1
1089-HDMKP,0,Not Churned,Not Churned,40,Stayed,4
1092-GANHU,1,Competitor,Competitor offered more data,87,Churned,2
2931-VUVJN,0,Not Churned,Not Churned,30,Stayed,3
2077-DDHJK,0,Not Churned,Not Churned,50,Stayed,4
9114-DPSIA,0,Not Churned,Not Churned,77,Stayed,3
3494-JCHRQ,1,Attitude,Attitude of support person,69,Churned,2
2277-AXSDC,0,Not Churned,Not Churned,46,Stayed,4
1928-BXYIV,0,Not Churned,Not Churned,28,Joined,4
7326-RIGQZ,0,Not Churned,Not Churned,62,Stayed,4
8634-MPHTR,1,Attitude,Attitude of support person,91,Churned,1
0064-SUDOG,0,Not Churned,Not Churned,57,Stayed,5
6972-SNKKW,0,Not Churned,Not Churned,53,Stayed,3
3877-JRJIP,1,Attitude,Attitude of support person,71,Churned,2
7409-KIUTL,1,Competitor,Competitor made better offer,72,Churned,3
3951-NJCVI,0,Not Churned,Not Churned,34,Stayed,4
8285-ABVLB,0,Not Churned,Not Churned,79,Stayed,4
0637-KVDLV,1,Other,Don't know,80,Churned,1
0260-ZDLGK,1,Competitor,Competitor made better offer,65,Churned,1
1548-ARAGG,0,Not Churned,Not Churned,23,Stayed,3
1987-AUELQ,0,Not Churned,Not Churned,52,Stayed,5
2684-EIWEO,1,Competitor,Competitor made better offer,90,Churned,1
1027-LKKQQ,0,Not Churned,Not Churned,54,Stayed,3
3717-OEAUQ,0,Not Churned,Not Churned,38,Joined,4
7033-CLAMM,0,Not Churned,Not Churned,33,Stayed,5
1143-NMNQJ,1,Attitude,Attitude of service provider,95,Churned,2
6839-ITVZJ,1,Other,Don't know,71,Churned,2
8082-GHXOP,0,Not Churned,Not Churned,24,Stayed,3
3569-VLDHH,0,Not Churned,Not Churned,23,Stayed,4
3061-BCKYI,0,Not Churned,Not Churned,34,Stayed,3
6424-ELEYH,1,Competitor,Competitor had better devices,65,Churned,1
9018-PCIOK,0,Not Churned,Not Churned,36,Stayed,3
3256-EZDBI,0,Not Churned,Not Churned,80,Stayed,4
3249-VHRIP,0,Not Churned,Not Churned,53,Stayed,4
2921-XWDJH,0,Not Churned,Not Churned,49,Stayed,3
