Customer ID,City,State,Country,Zip Code,Latitude,Longitude,Lat Long,Population
4526-ZJJTM,San Mateo,California,United States,94403,37.538309,-122.305109,"37.538309, -122.305109",37926
5302-BDJNT,Sutter Creek,California,United States,95685,38.432145,-120.77069,"38.432145, -120.77069",4610
5468-BPMMO,Santa Cruz,California,United States,95064,37.007882,-122.065975,"37.007882, -122.065975",4563
2212-LYASK,Brea,California,United States,92823,33.924143,-117.79387,"33.924143, -117.79387",1408
0378-XSZPU,San Jose,California,United States,95117,37.311088,-121.961786,"37.311088, -121.961786",29914
6023-YEBUP,Stockton,California,United States,95210,38.033219,-121.297433,"38.033219, -121.297433",40611
7030-NJVDP,San Quentin,California,United States,94964,37.942551,-122.491642,"37.942551, -122.491642",6448
7549-MYGPK,Mountain View,California,United States,94040,37.380662,-122.086022,"37.380662, -122.086022",32143
2469-DTSGX,Somis,California,United States,93066,34.297628,-119.014627,"34.297628, -119.014627",2966
3090-LETTY,San Diego,California,United States,92130,32.957195,-117.202542,"32.957195, -117.202542",28201
6486-LHTMA,California City,California,United States,93505,35.151491,-117.927597,"35.151491, -117.927597",8316
9799-CAYJJ,West Hills,California,United States,91307,34.199787,-118.68493,"34.199787, -118.68493",23637
7690-KPNCU,Willow Creek,California,United States,95573,40.949012,-123.655847,"40.949012, -123.655847",1666
9576-ANLXO,Earlimart,California,United States,93219,35.858054,-119.305858,"35.858054, -119.305858",9318
1089-HDMKP,Bridgeport,California,United States,93517,38.184583,-119.286558,"38.184583, -119.286558",826
1092-GANHU,Magalia,California,United States,95954,39.933852,-121.584371,"39.933852, -121.584371",11168
2931-VUVJN,Murrieta,California,United States,92562,33.548869,-117.334165,"33.548869, -117.334165",36149
2077-DDHJK,Goleta,California,United States,93117,34.489983,-120.091246,"34.489983, -120.091246",49975
9114-DPSIA,Stockton,California,United States,95205,37.965695,-121.260051,"37.965695, -121.260051",34138
3494-JCHRQ,Van Nuys,California,United States,91411,34.17847,-118.459472,"34.17847, -118.459472",23646
2277-AXSDC,El Centro,California,United States,92243,32.770393,-115.60915,"32.770393, -115.60915",43712
1928-BXYIV,Placerville,California,United States,95667,38.733714,-120.795213,"38.733714, -120.795213",34146
7326-RIGQZ,Culver City,California,United States,90230,33.993991,-118.39704,"33.993991, -118.39704",31963
8634-MPHTR,Forbestown,California,United States,95941,39.531028,-121.24807,"39.531028, -121.24807",452
0064-SUDOG,Huntington Park,California,United States,90255,33.97803,-118.217141,"33.97803, -118.217141",78114
6972-SNKKW,Chester,California,United States,96020,40.243494,-121.154733,"40.243494, -121.154733",2664
3877-JRJIP,Hawthorne,California,United States,90250,33.914775,-118.348083,"33.914775, -118.348083",93315
7409-KIUTL,Escondido,California,United States,92027,33.141265,-116.967221,"33.141265, -116.967221",48690
3951-NJCVI,Cathedral City,California,United States,92234,33.829583,-116.474131,"33.829583, -116.474131",43141
8285-ABVLB,Santa Barbara,California,United States,93103,34.438581,-119.685368,"34.438581, -119.685368",20893
0637-KVDLV,Elk Grove,California,United States,95758,38.35363,-121.44195,"38.35363, -121.44195",47065
0260-ZDLGK,San Dimas,California,United States,91773,34.102119,-117.815532,"34.102119, -117.815532",33878
1548-ARAGG,Cedar Glen,California,United States,92321,34.255203,-117.175654,"34.255203, -117.175654",455
1987-AUELQ,Los Angeles,California,United States,90018,34.028735,-118.317236,"34.028735, -118.317236",47143
2684-EIWEO,San Diego,California,United States,92129,32.961064,-117.134917,"32.961064, -117.134917",47224
1027-LKKQQ,Plymouth,California,United States,95669,38.489273,-120.891614,"38.489273, -120.891614",2220
3717-OEAUQ,Ione,California,United States,95640,38.33788,-120.954202,"38.33788, -120.954202",9752
7033-CLAMM,Somes Bar,California,United States,95568,41.444606,-123.471895,"41.444606, -123.471895",202
1143-NMNQJ,Boulder Creek,California,United States,95006,37.171727,-122.142961,"37.171727, -122.142961",10520
6839-ITVZJ,Los Angeles,California,United States,90037,34.002642,-118.287596,"34.002642, -118.287596",56709
8082-GHXOP,Esparto,California,United States,95627,38.834469,-122.127193,"38.834469, -122.127193",2756
3569-VLDHH,Sacramento,California,United States,95824,38.517295,-121.439819,"38.517295, -121.439819",30580
3061-BCKYI,Thousand Palms,California,United States,92276,33.849263,-116.382778,"33.849263, -116.382778",6242
6424-ELEYH,Lebec,California,United States,93243,34.845861,-118.885163,"34.845861, -118.885163",1247
9018-PCIOK,Newark,California,United States,94560,37.504133,-122.032347,"37.504133, -122.032347",42491
3256-EZDBI,Greenville,California,United States,95947,40.160386,-120.835428,"40.160386, -120.835428",2064
3249-VHRIP,Fiddletown,California,United States,95629,38.513484,-120.704613,"38.513484, -120.704613",850
2921-XWDJH,Glendale,California,United States,91202,34.167926,-118.267539,"34.167926, -118.267539",21990
5456-ITGIC,Loomis,California,United States,95650,38.809175,-121.171375,"38.809175, -121.171375",11191
7971-HLVXI,San Bernardino,California,United States,92404,34.183286,-117.221722,"34.183286, -117.221722",53636
3662-FXJFO,Redondo Beach,California,United States,90278,33.873395,-118.37019,"33.873395, -118.37019",37322
7779-LGOVN,Paskenta,California,United States,96074,39.884395,-122.587513,"39.884395, -122.587513",263
2480-EJWYP,Roseville,California,United States,95747,38.784329,-121.373245,"38.784329, -121.373245",25418
7544-ZVIKX,Roseville,California,United States,95678,38.759751,-121.288545,"38.759751, -121.288545",30614
6257-RJOHI,San Diego,California,United States,92110,32.76501,-117.19938,"32.76501, -117.19938",24169
2011-TRQYE,Deer Park,California,United States,94576,38.554383,-122.474773,"38.554383, -122.474773",223
5789-LDFXO,Baker,California,United States,92309,35.28952,-116.092214,"35.28952, -116.092214",904
6352-GIGGQ,Escondido,California,United States,92027,33.141265,-116.967221,"33.141265, -116.967221",48690
6807-SIWJI,Groveland,California,United States,95321,37.902968,-119.667544,"37.902968, -119.667544",3680
0426-TIRNE,Encino,California,United States,91316,34.150354,-118.518292,"34.150354, -118.518292",27614
4291-TPNFG,Raisin City,California,United States,93652,36.594542,-119.905245,"36.594542, -119.905245",265
3746-EUBYR,Fallbrook,California,United States,92028,33.362575,-117.299644,"33.362575, -117.299644",42239
9362-MWODR,San Mateo,California,United States,94404,37.556094,-122.272437,"37.556094, -122.272437",31882
7321-ZNSLA,Cottonwood,California,United States,96022,40.336392,-122.448533,"40.336392, -122.448533",12348
0565-JUPYD,Benicia,California,United States,94510,38.113533,-122.11926,"38.113533, -122.11926",25578
8336-TAVKX,Berry Creek,California,United States,95916,39.657228,-121.37778,"39.657228, -121.37778",1279
3086-RUCRN,Paicines,California,United States,95043,36.525703,-120.952122,"36.525703, -120.952122",813
3745-HRPHI,Yuba City,California,United States,95993,39.075694,-121.70606,"39.075694, -121.70606",27786
9928-BZVLZ,Sunset Beach,California,United States,90742,33.719221,-118.073596,"33.719221, -118.073596",1107
0674-GCDXG,Bakersfield,California,United States,93308,35.559617,-118.925185,"35.559617, -118.925185",44915
9027-TMATR,Warner Springs,California,United States,92086,33.323705,-116.626907,"33.323705, -116.626907",1205
4910-AQFFX,Soulsbyville,California,United States,95372,37.990574,-120.261821,"37.990574, -120.261821",1519
3736-BLEPA,Folsom,California,United States,95630,38.672638,-121.147403,"38.672638, -121.147403",51855
9220-CXRSC,Heber,California,United States,92249,32.730583,-115.501083,"32.730583, -115.501083",3535
2452-KDRRH,Mi Wuk Village,California,United States,95346,38.121601,-120.133915,"38.121601, -120.133915",1278
7471-WNSUF,San Francisco,California,United States,94121,37.776718,-122.495781,"37.776718, -122.495781",42476
9992-UJOEL,Elk,California,United States,95432,39.108252,-123.645121,"39.108252, -123.645121",383
5204-QZXPU,Glendale,California,United States,91205,34.13658,-118.245839,"34.13658, -118.245839",41390
9481-SFCQY,Bass Lake,California,United States,93604,37.458367,-119.345011,"37.458367, -119.345011",613
1247-QBVSH,Santa Margarita,California,United States,93453,35.303926,-120.256567,"35.303926, -120.256567",2687
6478-HRRCZ,Stirling City,California,United States,95978,39.904002,-121.527823,"39.904002, -121.527823",28
9838-BFCQT,San Jose,California,United States,95139,37.218705,-121.762429,"37.218705, -121.762429",7023
7268-IGMFD,Avila Beach,California,United States,93424,35.186644,-120.728305,"35.186644, -120.728305",812
0750-EBAIU,Temecula,California,United States,92590,33.475493,-117.219551,"33.475493, -117.219551",3070
0428-AXXLJ,Bellflower,California,United States,90706,33.887676,-118.127289,"33.887676, -118.127289",72893
5820-PTRYM,Chula Vista,California,United States,91913,32.64164,-116.985026,"32.64164, -116.985026",12884
3234-VKACU,Sunol,California,United States,94586,37.587494,-121.862856,"37.587494, -121.862856",790
5309-TAIKL,Rio Linda,California,United States,95673,38.688764,-121.457596,"38.688764, -121.457596",14010
6834-NXDCA,South Dos Palos,California,United States,93665,36.959731,-120.653519,"36.959731, -120.653519",343
4622-YNKIJ,Norwalk,California,United States,90650,33.905963,-118.08263,"33.905963, -118.08263",103214
1169-SAOCL,Brookdale,California,United States,95007,37.106902,-122.100006,"37.106902, -122.100006",1007
9391-EOYLI,Lewiston,California,United States,96052,40.704293,-122.803899,"40.704293, -122.803899",1845
0330-BGYZE,Milford,California,United States,96121,40.181279,-120.392967,"40.181279, -120.392967",481
5067-WJEUN,Bakersfield,California,United States,93308,35.559617,-118.925185,"35.559617, -118.925185",44915
8329-UTMVM,Bakersfield,California,United States,93313,35.140938,-119.051348,"35.140938, -119.051348",25126
