Customer ID,Referred a Friend,Number of Referrals,Offer,Contract,Tenure in Months,Quarter
4526-ZJJTM,1,1,No offer,Two Year,25,Q3
5302-BDJNT,0,0,No offer,Month-to-Month,35,Q3
5468-BPMMO,1,3,No offer,Month-to-Month,46,Q3
2212-LYASK,1,3,No offer,One Year,27,Q3
0378-XSZPU,1,1,Offer B,One Year,58,Q3
6023-YEBUP,0,0,Offer E,Month-to-Month,3,Q3
7030-NJVDP,1,2,No offer,Month-to-Month,24,Q3
7549-MYGPK,1,3,Offer B,Month-to-Month,63,Q3
2469-DTSGX,0,0,Offer A,Two Year,72,Q3
3090-LETTY,0,0,No offer,Month-to-Month,2,Q3
6486-LHTMA,1,1,No offer,One Year,31,Q3
9799-CAYJJ,1,1,Offer E,Two Year,2,Q3
7690-KPNCU,1,5,Offer B,One Year,64,Q3
9576-ANLXO,0,0,No offer,Month-to-Month,3,Q3
1089-HDMKP,0,0,No offer,Two Year,11,Q3
1092-GANHU,0,0,No offer,Month-to-Month,17,Q3
2931-VUVJN,0,0,No offer,One Year,59,Q3
2077-DDHJK,1,2,No offer,Two Year,68,Q3
9114-DPSIA,1,8,No offer,Two Year,72,Q3
3494-JCHRQ,0,0,No offer,Month-to-Month,1,Q3
2277-AXSDC,0,0,No offer,One Year,32,Q3
1928-BXYIV,0,0,Offer E,Month-to-Month,1,Q3
7326-RIGQZ,1,9,No offer,Month-to-Month,6,Q3
8634-MPHTR,1,1,No offer,Month-to-Month,47,Q3
0064-SUDOG,1,3,No offer,Two Year,12,Q3
6972-SNKKW,0,0,No offer,Month-to-Month,6,Q3
3877-JRJIP,0,0,No offer,Month-to-Month,1,Q3
7409-KIUTL,0,0,No offer,Month-to-Month,1,Q3
3951-NJCVI,1,10,No offer,One Year,42,Q3
8285-ABVLB,0,0,No offer,Two Year,70,Q3
0637-KVDLV,0,0,Offer E,Month-to-Month,2,Q3
0260-ZDLGK,0,0,No offer,Month-to-Month,9,Q3
1548-ARAGG,1,9,No offer,Month-to-Month,4,Q3
1987-AUELQ,0,0,No offer,Two Year,71,Q3
2684-EIWEO,0,0,No offer,Month-to-Month,30,Q3
1027-LKKQQ,1,3,No offer,Two Year,72,Q3
3717-OEAUQ,0,0,Offer E,Month-to-Month,2,Q3
7033-CLAMM,1,6,Offer B,Two Year,48,Q3
1143-NMNQJ,0,0,No offer,Month-to-Month,2,Q3
6839-ITVZJ,1,1,No offer,Month-to-Month,26,Q3
8082-GHXOP,0,0,Offer D,Month-to-Month,13,Q3
3569-VLDHH,0,0,Offer A,One Year,66,Q3
3061-BCKYI,0,0,Offer D,Month-to-Month,14,Q3
6424-ELEYH,1,1,Offer E,Month-to-Month,3,Q3
9018-PCIOK,0,0,Offer B,Two Year,55,Q3
3256-EZDBI,1,1,Offer B,Month-to-Month,51,Q3
3249-VHRIP,0,0,Offer B,Two Year,62,Q3
2921-XWDJH,0,0,No offer,Two Year,38,Q3
5456-ITGIC,1,9,No offer,Two Year,72,Q3
7971-HLVXI,1,4,Offer A,Two Year,72,Q3
3662-FXJFO,0,0,Offer B,Two Year,54,Q3
7779-LGOVN,1,2,No offer,Month-to-Month,10,Q3
2480-EJWYP,1,5,Offer B,One Year,58,Q3
7544-ZVIKX,1,2,No offer,One Year,58,Q3
6257-RJOHI,0,0,Offer E,Month-to-Month,4,Q3
2011-TRQYE,0,0,Offer D,Month-to-Month,18,Q3
5789-LDFXO,0,0,Offer C,One Year,24,Q3
6352-GIGGQ,0,0,Offer A,One Year,67,Q3
6807-SIWJI,0,0,Offer C,One Year,38,Q3
0426-TIRNE,0,0,Offer E,Month-to-Month,1,Q3
4291-TPNFG,1,1,Offer A,Two Year,72,Q3
3746-EUBYR,1,1,Offer E,Month-to-Month,1,Q3
9362-MWODR,0,0,No offer,Month-to-Month,40,Q3
7321-ZNSLA,0,0,No offer,Two Year,13,Q3
0565-JUPYD,0,0,No offer,One Year,63,Q3
8336-TAVKX,1,10,No offer,Two Year,72,Q3
3086-RUCRN,0,0,Offer A,Month-to-Month,66,Q3
3745-HRPHI,0,0,No offer,Two Year,66,Q3
9928-BZVLZ,0,0,Offer D,Two Year,12,Q3
0674-GCDXG,0,0,Offer B,Two Year,63,Q3
9027-TMATR,1,1,No offer,Two Year,43,Q3
4910-AQFFX,1,1,No offer,Month-to-Month,9,Q3
3736-BLEPA,0,0,Offer C,One Year,28,Q3
9220-CXRSC,1,10,No offer,Two Year,69,Q3
2452-KDRRH,0,0,No offer,Two Year,67,Q3
7471-WNSUF,1,1,Offer B,One Year,60,Q3
9992-UJOEL,0,0,Offer E,Month-to-Month,2,Q3
5204-QZXPU,0,0,No offer,Month-to-Month,19,Q3
9481-SFCQY,0,0,Offer D,Month-to-Month,14,Q3
1247-QBVSH,1,1,Offer B,Month-to-Month,43,Q3
6478-HRRCZ,1,7,No offer,One Year,32,Q3
9838-BFCQT,1,2,No offer,Two Year,72,Q3
7268-IGMFD,0,0,Offer D,Two Year,18,Q3
0750-EBAIU,0,0,Offer B,One Year,52,Q3
0428-AXXLJ,0,0,Offer C,One Year,25,Q3
5820-PTRYM,1,1,No offer,One Year,56,Q3
3234-VKACU,0,0,No offer,Month-to-Month,2,Q3
5309-TAIKL,0,0,No offer,Month-to-Month,7,Q3
6834-NXDCA,0,0,No offer,Month-to-Month,13,Q3
4622-YNKIJ,0,0,Offer C,Two Year,33,Q3
1169-SAOCL,0,0,No offer,One Year,49,Q3
9391-EOYLI,1,1,Offer D,Month-to-Month,12,Q3
0330-BGYZE,1,8,Offer B,One Year,60,Q3
5067-WJEUN,1,1,Offer A,Two Year,67,Q3
8329-UTMVM,0,0,Offer C,One Year,27,Q3
9448-REEVD,1,1,No offer,Month-to-Month,1,Q3
3411-WLRSQ,1,3,Offer E,Month-to-Month,3,Q3
5131-PONJI,1,10,Offer B,Month-to-Month,49,Q3
3312-ZWLGF,0,0,No offer,Month-to-Month,29,Q3
4079-VTGLK,1,7,No offer,Two Year,30,Q3
7858-GTZSP,0,0,Offer D,Month-to-Month,12,Q3
2639-UGMAZ,0,0,Offer A,One Year,71,Q3
2750-BJLSB,0,0,Offer B,One Year,47,Q3
1732-FEKLD,0,0,Offer B,One Year,54,Q3
4659-NZRUF,0,0,Offer D,Month-to-Month,19,Q3
4013-GUXND,0,0,Offer E,Month-to-Month,1,Q3
7668-XCFYV,1,9,No offer,Month-to-Month,17,Q3
8651-ENBZX,0,0,No offer,One Year,60,Q3
6981-TDRFT,1,1,No offer,One Year,44,Q3
7765-LWVVH,1,8,No offer,Two Year,72,Q3
7696-CFTAT,0,0,No offer,Two Year,37,Q3
4611-ANLQC,1,7,Offer B,One Year,60,Q3
7129-CAKJW,0,0,Offer D,Month-to-Month,17,Q3
2397-BRLOM,1,2,No offer,Month-to-Month,8,Q3
3197-NNYNB,0,0,Offer B,Two Year,65,Q3
0139-IVFJG,1,10,No offer,Month-to-Month,2,Q3
5167-GBFRE,0,0,Offer E,Month-to-Month,4,Q3
3070-DVEYC,0,0,No offer,Month-to-Month,7,Q3
0396-HUJBP,0,0,No offer,Month-to-Month,2,Q3
0813-TAXXS,0,0,No offer,Two Year,55,Q3
0811-GSDTP,0,0,No offer,Month-to-Month,13,Q3
9522-BNTHX,0,0,No offer,Two Year,34,Q3
