Customer ID,Phone Service,Multiple Lines,Internet Service,Internet Type,Streaming TV,Streaming Movies,Streaming Music,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data
4526-ZJJTM,1,0,1,Fiber Optic,0,1,1,0,1,1,0,1
5302-BDJNT,1,1,1,Fiber Optic,1,0,0,0,0,1,1,1
5468-BPMMO,1,0,0,No internet,0,0,0,0,0,0,0,0
2212-LYASK,0,0,1,DSL,0,1,1,0,1,1,0,0
0378-XSZPU,1,0,1,Cable,0,0,0,1,1,1,0,1
6023-YEBUP,1,1,1,Cable,1,1,1,0,0,1,0,0
7030-NJVDP,1,0,1,Fiber Optic,0,1,1,1,0,0,1,1
7549-MYGPK,1,1,1,Fiber Optic,1,0,0,1,1,1,0,0
2469-DTSGX,1,1,1,Fiber Optic,1,1,0,0,1,1,1,1
3090-LETTY,1,1,1,DSL,0,0,0,1,1,0,0,1
6486-LHTMA,1,1,1,Fiber Optic,1,0,0,0,0,1,0,1
9799-CAYJJ,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
7690-KPNCU,1,0,1,DSL,1,1,1,1,0,1,0,1
9576-ANLXO,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
1089-HDMKP,1,0,1,Cable,0,0,0,0,1,0,1,1
1092-GANHU,1,0,1,Fiber Optic,0,0,0,0,0,1,0,1
2931-VUVJN,1,1,1,Fiber Optic,0,0,0,1,1,1,1,0
2077-DDHJK,1,1,1,DSL,0,0,0,1,1,1,1,1
9114-DPSIA,1,1,1,DSL,0,1,1,1,1,1,1,1
3494-JCHRQ,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
2277-AXSDC,1,0,0,No internet,0,0,0,0,0,0,0,0
1928-BXYIV,1,1,1,DSL,0,0,0,1,1,0,0,1
7326-RIGQZ,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
8634-MPHTR,1,1,1,Fiber Optic,1,1,0,0,0,1,0,1
0064-SUDOG,1,0,0,No internet,0,0,0,0,0,0,0,0
6972-SNKKW,1,0,0,No internet,0,0,0,0,0,0,0,0
3877-JRJIP,1,1,1,Cable,1,0,0,0,0,0,0,1
7409-KIUTL,1,0,1,Fiber Optic,0,0,0,0,0,0,0,1
3951-NJCVI,1,1,1,Fiber Optic,1,1,0,0,0,0,0,0
8285-ABVLB,1,0,0,No internet,0,0,0,0,0,0,0,0
0637-KVDLV,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
0260-ZDLGK,1,0,1,Cable,1,1,1,0,0,1,1,1
1548-ARAGG,1,1,1,DSL,0,0,0,0,1,0,1,1
1987-AUELQ,1,1,0,No internet,0,0,0,0,0,0,0,0
2684-EIWEO,1,1,1,Fiber Optic,0,0,0,1,1,1,0,1
1027-LKKQQ,1,0,1,DSL,1,1,1,1,0,1,1,1
3717-OEAUQ,1,0,1,Fiber Optic,0,0,0,0,0,0,0,0
7033-CLAMM,1,0,0,No internet,0,0,0,0,0,0,0,0
1143-NMNQJ,1,1,1,Fiber Optic,0,1,1,0,0,0,0,1
6839-ITVZJ,1,1,1,DSL,0,0,0,0,1,0,1,1
8082-GHXOP,1,0,1,DSL,0,0,1,0,0,0,0,1
3569-VLDHH,1,0,1,DSL,1,0,0,1,1,1,1,1
3061-BCKYI,1,0,0,No internet,0,0,0,0,0,0,0,0
6424-ELEYH,1,1,1,Fiber Optic,0,0,0,0,0,0,0,1
9018-PCIOK,1,0,1,Cable,0,1,1,0,1,1,0,1
3256-EZDBI,0,0,1,DSL,0,0,0,0,1,0,0,1
3249-VHRIP,0,0,1,Cable,0,1,1,0,1,1,0,1
2921-XWDJH,1,0,1,Fiber Optic,0,1,0,1,0,0,0,1
5456-ITGIC,0,0,1,DSL,1,1,1,1,1,1,1,1
